Player,FantPos,Data Split,Predicted2025G,2025G,Note
Jahmyr Gibbs,RB,CrossVal,17.0,17,
Saquon Barkley,RB,CrossVal,17.0,17,
Bijan Robinson,RB,CrossVal,17.0,17,
Derrick Henry,RB,CrossVal,16.0,17,
De'Von Achane,RB,CrossVal,17.0,17,
Josh Jacobs,RB,CrossVal,17.0,17,
Kyren Williams,RB,CrossVal,17.0,17,
James Cook,RB,CrossVal,17.0,16,
Alvin Kamara,RB,CrossVal,17.0,17,
Chase Brown,RB,CrossVal,17.0,17,
James Conner,RB,CrossVal,14.0,17,
Bucky Irving,RB,CrossVal,17.0,17,
Jonathan Taylor,RB,CrossVal,16.0,17,
Chuba Hubbard,RB,CrossVal,16.0,17,
Aaron Jones,RB,CrossVal,14.0,17,
Breece Hall,RB,CrossVal,16.0,17,
Joe Mixon,RB,CrossVal,15.0,17,
David Montgomery,RB,CrossVal,17.0,17,
D'Andre Swift,RB,CrossVal,17.0,17,
Najee Harris,RB,CrossVal,17.0,17,
Tony Pollard,RB,CrossVal,17.0,17,
Rachaad White,RB,CrossVal,16.0,17,
Rico Dowdle,RB,CrossVal,17.0,17,
Zach Charbonnet,RB,CrossVal,17.0,17,
Tyrone Tracy Jr.,RB,CrossVal,17.0,17,
Kenneth Walker III,RB,CrossVal,17.0,17,
Rhamondre Stevenson,RB,CrossVal,17.0,17,
Brian Robinson Jr.,RB,CrossVal,17.0,17,
Javonte Williams,RB,CrossVal,17.0,17,
Kareem Hunt,RB,CrossVal,15.0,17,
Alexander Mattison,RB,CrossVal,17.0,12,
Jerome Ford,RB,CrossVal,17.0,17,
Austin Ekeler,RB,CrossVal,16.0,17,
Travis Etienne Jr.,RB,CrossVal,15.0,17,
Tank Bigsby,RB,CrossVal,17.0,17,
Justice Hill,RB,CrossVal,17.0,17,
Jaylen Warren,RB,CrossVal,15.0,17,
Ray Davis,RB,CrossVal,17.0,16,
Jordan Mason,RB,CrossVal,17.0,17,
Tyjae Spears,RB,CrossVal,16.0,17,
Tyler Allgeier,RB,CrossVal,17.0,17,
Antonio Gibson,RB,CrossVal,17.0,17,
Jaleel McLaughlin,RB,CrossVal,17.0,17,
Devin Singletary,RB,CrossVal,17.0,17,
Isaac Guerendo,RB,CrossVal,14.0,17,
Ty Johnson,RB,CrossVal,17.0,15,
Braelon Allen,RB,CrossVal,16.0,17,
Zack Moss,RB,CrossVal,16.0,17,
Samaje Perine,RB,CrossVal,15.0,17,
Miles Sanders,RB,CrossVal,15.0,17,
Roschon Johnson,RB,CrossVal,17.0,17,
Raheem Mostert,RB,CrossVal,15.0,17,
Gus Edwards,RB,CrossVal,15.0,12,
Kenneth Gainwell,RB,CrossVal,17.0,17,
Ezekiel Elliott,RB,CrossVal,16.0,12,
Isiah Pacheco,RB,CrossVal,15.0,17,
Emari Demercado,RB,CrossVal,16.0,17,
Audric Estime,RB,CrossVal,16.0,17,
Christian McCaffrey,RB,CrossVal,14.0,17,
Trey Benson,RB,CrossVal,16.0,17,
Dameon Pierce,RB,CrossVal,17.0,17,
Jamaal Williams,RB,CrossVal,17.0,12,
Blake Corum,RB,CrossVal,17.0,17,
D'Onta Foreman,RB,CrossVal,15.0,12,
Khalil Herbert,RB,CrossVal,16.0,17,
Zamir White,RB,CrossVal,16.0,12,
Kendre Miller,RB,CrossVal,15.0,17,
Ty Chandler,RB,CrossVal,16.0,12,
Jaylen Wright,RB,CrossVal,16.0,17,
Carson Steele,RB,CrossVal,17.0,12,
Clyde Edwards-Helaire,RB,CrossVal,16.0,12,
Keaton Mitchell,RB,CrossVal,15.0,17,
MarShawn Lloyd,RB,CrossVal,17.0,12,
Ashton Jeanty,RB,CrossVal,17.0,17,
RJ Harvey,RB,CrossVal,17.0,17,
TreVeyon Henderson,RB,CrossVal,17.0,17,
Omarion Hampton,RB,CrossVal,17.0,17,
Quinshon Judkins,RB,CrossVal,17.0,17,
Bhayshul Tuten,RB,CrossVal,17.0,17,
Kaleb Johnson,RB,CrossVal,17.0,17,
Cam Skattebo,RB,CrossVal,17.0,17,
Jaydon Blue,RB,CrossVal,17.0,17,
Dylan Sampson,RB,CrossVal,17.0,17,
Woody Marks,RB,CrossVal,17.0,17,
Trevor Etienne,RB,CrossVal,17.0,17,
AJ Dillon,RB,CrossVal,15.0,17,
Elijah Mitchell,RB,CrossVal,16.0,17,
Chase Edmonds,RB,CrossVal,17.0,12,
Ja'Marr Chase,WR/TE,CrossVal,16.0,17,
Justin Jefferson,WR/TE,CrossVal,17.0,17,
Amon-Ra St. Brown,WR/TE,CrossVal,17.0,17,
Brian Thomas Jr.,WR/TE,CrossVal,16.0,17,
Drake London,WR/TE,CrossVal,17.0,17,
Malik Nabers,WR/TE,CrossVal,16.0,17,
Terry McLaurin,WR/TE,CrossVal,17.0,17,
CeeDee Lamb,WR/TE,CrossVal,17.0,17,
Brock Bowers,WR/TE,CrossVal,16.0,17,
Jaxon Smith-Njigba,WR/TE,CrossVal,17.0,17,
Garrett Wilson,WR/TE,CrossVal,17.0,17,
Trey McBride,WR/TE,CrossVal,17.0,17,
Davante Adams,WR/TE,CrossVal,15.0,17,
Ladd McConkey,WR/TE,CrossVal,16.0,17,
Jerry Jeudy,WR/TE,CrossVal,17.0,17,
Mike Evans,WR/TE,CrossVal,15.0,17,
Courtland Sutton,WR/TE,CrossVal,17.0,17,
DJ Moore,WR/TE,CrossVal,17.0,17,
George Kittle,WR/TE,CrossVal,16.0,17,
Jonnu Smith,WR/TE,CrossVal,17.0,17,
Tee Higgins,WR/TE,CrossVal,17.0,17,
Tyreek Hill,WR/TE,CrossVal,17.0,17,
Jakobi Meyers,WR/TE,CrossVal,17.0,17,
A.J. Brown,WR/TE,CrossVal,17.0,17,
Jordan Addison,WR/TE,CrossVal,16.0,17,
