Player,Data Split,FantPos,PredictedHealthGrade,HealthGrade
Isiah Pacheco,Train,RB,76.0,76
Ashton Jeanty,Train,RB,100.0,100
Bucky Irving,Train,RB,100.0,100
Alexander Mattison,Train,RB,94.0,94
Tyler Allgeier,Train,RB,100.0,100
Javonte Williams,Train,RB,77.0,71
Chase Brown,Train,RB,81.0,82
Kendre Miller,Train,RB,80.0,76
Josh Jacobs,Train,RB,92.0,94
Tyjae Spears,Train,RB,87.0,88
Jerome Ford,Train,RB,88.0,88
Justice Hill,Train,RB,88.0,88
Ty Johnson,Train,RB,92.0,100
Isaac Guerendo,Train,RB,96.0,100
Joe Mixon,Train,RB,88.0,88
Jaleel McLaughlin,Train,RB,100.0,100
Tank Bigsby,Train,RB,95.0,97
James Cook,Train,RB,94.0,94
Miles Sanders,Train,RB,87.0,88
Jamaal Williams,Train,RB,88.0,88
Najee Harris,Train,RB,100.0,100
MarShawn Lloyd,Train,RB,81.0,90
Kenneth Walker III,Train,RB,82.0,82
Zack Moss,Train,RB,71.0,71
Chuba Hubbard,Train,RB,94.0,94
Tyrone Tracy Jr.,Train,RB,100.0,100
Derrick Henry,Train,RB,100.0,100
David Montgomery,Train,RB,88.0,88
Jordan Mason,Train,RB,89.0,91
Alvin Kamara,Train,RB,83.0,82
Carson Steele,Train,RB,97.0,100
Kyren Williams,Train,RB,78.0,76
Emari Demercado,Train,RB,82.0,82
Jaylen Warren,Train,RB,94.0,94
Bhayshul Tuten,Train,RB,100.0,100
Chase Edmonds,Train,RB,75.0,76
Ezekiel Elliott,Train,RB,94.0,94
Devin Singletary,Train,RB,94.0,94
Roschon Johnson,Train,RB,87.0,88
Braelon Allen,Train,RB,100.0,100
Elijah Mitchell,Train,RB,39.0,29
Breece Hall,Train,RB,79.0,76
Clyde Edwards-Helaire,Train,RB,62.0,53
Brian Robinson Jr.,Train,RB,82.0,82
Antonio Gibson,Train,RB,94.0,94
Blake Corum,Train,RB,90.0,88
Christian McCaffrey,Train,RB,65.0,71
Samaje Perine,Train,RB,100.0,100
Quinshon Judkins,Train,RB,100.0,100
Audric Estime,Train,RB,76.0,76
Austin Ekeler,Train,RB,82.0,82
Woody Marks,Train,RB,99.0,100
Trey Benson,Train,RB,77.0,76
D'Onta Foreman,Train,RB,73.0,71
TreVeyon Henderson,Train,RB,100.0,100
Ray Davis,Train,RB,100.0,100
Kareem Hunt,Train,RB,76.0,71
Saquon Barkley,Train,RB,88.0,88
Gus Edwards,Train,RB,73.0,71
Rachaad White,Train,RB,100.0,100
Bijan Robinson,Train,RB,99.0,100
Zach Charbonnet,Train,RB,99.0,100
Jaydon Blue,Train,RB,100.0,100
RJ Harvey,Train,RB,99.0,100
Dylan Sampson,Train,RB,100.0,100
Tony Pollard,Train,RB,94.0,94
Dameon Pierce,Train,RB,76.0,76
Keaton Mitchell,Train,RB,68.0,62
Aaron Jones,Train,RB,89.0,88
Raheem Mostert,Train,RB,87.0,88
Omarion Hampton,Test,RB,100.0,100
Jahmyr Gibbs,Test,RB,91.0,94
Rhamondre Stevenson,Test,RB,88.0,88
Rico Dowdle,Test,RB,94.0,94
Jonathan Taylor,Test,RB,79.0,71
Ty Chandler,Test,RB,81.0,90
James Conner,Test,RB,83.0,82
D'Andre Swift,Test,RB,93.0,94
De'Von Achane,Test,RB,84.0,82
Jaylen Wright,Test,RB,76.0,76
AJ Dillon,Test,RB,66.0,65
Zamir White,Test,RB,76.0,76
Kenneth Gainwell,Test,RB,100.0,100
Cam Skattebo,Test,RB,100.0,100
Trevor Etienne,Test,RB,100.0,100
Khalil Herbert,Test,RB,76.0,76
Travis Etienne Jr.,Test,RB,93.0,94
Kaleb Johnson,Test,RB,100.0,100
Dallas Goedert,Train,WR/TE,72.0,71
Mike Williams,Train,WR/TE,72.0,65
Elijah Moore,Train,WR/TE,100.0,100
Rashid Shaheed,Train,WR/TE,67.0,65
Chris Godwin,Train,WR/TE,75.0,76
Alec Pierce,Train,WR/TE,94.0,94
Nico Collins,Train,WR/TE,78.0,79
Ja'Lynn Polk,Train,WR/TE,88.0,88
Juwan Johnson,Train,WR/TE,87.0,88
Demario Douglas,Train,WR/TE,94.0,94
Mark Andrews,Train,WR/TE,82.0,82
Tommy Tremble,Train,WR/TE,87.0,88
Jakobi Meyers,Train,WR/TE,88.0,88
David Njoku,Train,WR/TE,82.0,82
Dalton Schultz,Train,WR/TE,94.0,94
Trey McBride,Train,WR/TE,94.0,94
Gerald Everett,Train,WR/TE,94.0,94
Nick Westbrook-Ikhine,Train,WR/TE,94.0,94
Curtis Samuel,Train,WR/TE,94.0,94
Zay Flowers,Train,WR/TE,100.0,100
Tyler Conklin,Train,WR/TE,100.0,100
Tyler Warren,Train,WR/TE,100.0,100
Khalil Shakir,Train,WR/TE,88.0,88
Drake London,Train,WR/TE,100.0,100
Marvin Harrison Jr.,Train,WR/TE,100.0,100
Kylen Granson,Train,WR/TE,88.0,88
Jaheim Bell,Train,WR/TE,88.0,88
Jalen McMillan,Train,WR/TE,95.0,100
Courtland Sutton,Train,WR/TE,94.0,94
Kalif Raymond,Train,WR/TE,87.0,88
Garrett Wilson,Train,WR/TE,100.0,100
Christian Kirk,Train,WR/TE,71.0,71
Travis Hunter,Train,WR/TE,100.0,100
Jalen Coker,Train,WR/TE,99.0,100
Ja'Marr Chase,Train,WR/TE,88.0,88
Tyler Boyd,Train,WR/TE,94.0,94
Adam Thielen,Train,WR/TE,82.0,82
Quentin Johnston,Train,WR/TE,94.0,94
Taysom Hill,Train,WR/TE,76.0,76
Puka Nacua,Train,WR/TE,83.0,82
Wan'Dale Robinson,Train,WR/TE,78.0,76
Evan Engram,Train,WR/TE,82.0,82
Jameson Williams,Train,WR/TE,79.0,79
A.J. Brown,Train,WR/TE,92.0,94
Cedric Tillman,Train,WR/TE,92.0,100
Josh Downs,Train,WR/TE,94.0,94
Luther Burden III,Train,WR/TE,100.0,100
Dalton Kincaid,Train,WR/TE,88.0,88
Emeka Egbuka,Train,WR/TE,100.0,100
Daniel Bellinger,Train,WR/TE,88.0,88
Pat Freiermuth,Train,WR/TE,88.0,88
Chris Olave,Train,WR/TE,76.0,76
Ray-Ray McCloud,Train,WR/TE,84.0,85
Michael Wilson,Train,WR/TE,88.0,88
Travis Kelce,Train,WR/TE,94.0,94
Matthew Golden,Train,WR/TE,100.0,100
Gabe Davis,Train,WR/TE,82.0,82
Cade Otton,Train,WR/TE,94.0,94
Diontae Johnson,Train,WR/TE,81.0,82
Jake Ferguson,Train,WR/TE,94.0,94
Jalen Tolbert,Train,WR/TE,100.0,100
Malik Nabers,Train,WR/TE,89.0,88
Nelson Agholor,Train,WR/TE,94.0,94
Brandin Cooks,Train,WR/TE,76.0,76
George Pickens,Train,WR/TE,94.0,94
DK Metcalf,Train,WR/TE,94.0,94
Kayshon Boutte,Train,WR/TE,89.0,88
Amari Cooper,Train,WR/TE,88.0,88
Darnell Mooney,Train,WR/TE,81.0,82
Rashod Bateman,Train,WR/TE,80.0,76
CeeDee Lamb,Train,WR/TE,94.0,94
Cooper Kupp,Train,WR/TE,69.0,65
Tre Tucker,Train,WR/TE,100.0,100
Ja'Tavion Sanders,Train,WR/TE,100.0,100
Darius Slayton,Train,WR/TE,94.0,94
Cole Kmet,Train,WR/TE,100.0,100
Ben Sinnott,Train,WR/TE,100.0,100
DJ Chark,Train,WR/TE,67.0,65
Keon Coleman,Train,WR/TE,86.0,90
Brock Bowers,Train,WR/TE,100.0,100
Ladd McConkey,Train,WR/TE,100.0,100
Rome Odunze,Train,WR/TE,100.0,100
Trey Palmer,Train,WR/TE,94.0,94
Brian Thomas Jr.,Train,WR/TE,100.0,100
DJ Moore,Train,WR/TE,100.0,100
Keenan Allen,Train,WR/TE,76.0,76
Xavier Legette,Train,WR/TE,99.0,100
Tyler Higbee,Train,WR/TE,69.0,71
Terry McLaurin,Train,WR/TE,100.0,100
Jahan Dotson,Train,WR/TE,88.0,88
Ricky Pearsall,Train,WR/TE,88.0,95
Amon-Ra St. Brown,Train,WR/TE,94.0,94
Brandon Aiyuk,Train,WR/TE,75.0,76
Tank Dell,Train,WR/TE,77.0,76
Theo Johnson,Train,WR/TE,76.0,71
Jaylen Waddle,Train,WR/TE,88.0,88
Noah Brown,Train,WR/TE,71.0,71
Tucker Kraft,Train,WR/TE,100.0,100
Jayden Higgins,Train,WR/TE,100.0,100
Hunter Henry,Train,WR/TE,94.0,94
Michael Pittman Jr.,Train,WR/TE,94.0,94
Calvin Austin III,Train,WR/TE,100.0,100
Tyreek Hill,Train,WR/TE,97.0,97
DeAndre Hopkins,Train,WR/TE,81.0,82
Jack Bech,Train,WR/TE,100.0,100
Tanner Hudson,Train,WR/TE,96.0,100
