Player,Data Split,FantPos,PredictedHealthGrade,HealthGrade
Jahmyr Gibbs,CrossVal,RB,92.0,94
Saquon Barkley,CrossVal,RB,88.0,88
Bijan Robinson,CrossVal,RB,99.0,100
Derrick Henry,CrossVal,RB,100.0,100
De'Von Achane,CrossVal,RB,87.0,82
Josh Jacobs,CrossVal,RB,88.0,94
Kyren Williams,CrossVal,RB,80.0,76
James Cook,CrossVal,RB,95.0,94
Alvin Kamara,CrossVal,RB,82.0,82
Chase Brown,CrossVal,RB,81.0,82
James Conner,CrossVal,RB,83.0,82
Bucky Irving,CrossVal,RB,100.0,100
Jonathan Taylor,CrossVal,RB,78.0,71
Chuba Hubbard,CrossVal,RB,93.0,94
Aaron Jones,CrossVal,RB,88.0,88
Breece Hall,CrossVal,RB,88.0,76
Joe Mixon,CrossVal,RB,91.0,88
David Montgomery,CrossVal,RB,87.0,88
D'Andre Swift,CrossVal,RB,94.0,94
Najee Harris,CrossVal,RB,99.0,100
Tony Pollard,CrossVal,RB,94.0,94
Rachaad White,CrossVal,RB,100.0,100
Rico Dowdle,CrossVal,RB,94.0,94
Zach Charbonnet,CrossVal,RB,99.0,100
Tyrone Tracy Jr.,CrossVal,RB,100.0,100
Kenneth Walker III,CrossVal,RB,81.0,82
Rhamondre Stevenson,CrossVal,RB,88.0,88
Brian Robinson Jr.,CrossVal,RB,82.0,82
Javonte Williams,CrossVal,RB,90.0,71
Kareem Hunt,CrossVal,RB,83.0,71
Alexander Mattison,CrossVal,RB,93.0,94
Jerome Ford,CrossVal,RB,91.0,88
Austin Ekeler,CrossVal,RB,82.0,82
Travis Etienne Jr.,CrossVal,RB,94.0,94
Tank Bigsby,CrossVal,RB,95.0,97
Justice Hill,CrossVal,RB,91.0,88
Jaylen Warren,CrossVal,RB,93.0,94
Ray Davis,CrossVal,RB,100.0,100
Jordan Mason,CrossVal,RB,87.0,91
Tyjae Spears,CrossVal,RB,87.0,88
Tyler Allgeier,CrossVal,RB,100.0,100
Antonio Gibson,CrossVal,RB,94.0,94
Jaleel McLaughlin,CrossVal,RB,100.0,100
Devin Singletary,CrossVal,RB,94.0,94
Isaac Guerendo,CrossVal,RB,95.0,100
Ty Johnson,CrossVal,RB,83.0,100
Braelon Allen,CrossVal,RB,100.0,100
Zack Moss,CrossVal,RB,71.0,71
Samaje Perine,CrossVal,RB,99.0,100
Miles Sanders,CrossVal,RB,85.0,88
Roschon Johnson,CrossVal,RB,87.0,88
Raheem Mostert,CrossVal,RB,86.0,88
Gus Edwards,CrossVal,RB,81.0,71
Kenneth Gainwell,CrossVal,RB,100.0,100
Ezekiel Elliott,CrossVal,RB,92.0,94
Isiah Pacheco,CrossVal,RB,72.0,76
Emari Demercado,CrossVal,RB,81.0,82
Audric Estime,CrossVal,RB,80.0,76
Christian McCaffrey,CrossVal,RB,76.0,71
Trey Benson,CrossVal,RB,81.0,76
Dameon Pierce,CrossVal,RB,77.0,76
Jamaal Williams,CrossVal,RB,89.0,88
Blake Corum,CrossVal,RB,93.0,88
D'Onta Foreman,CrossVal,RB,79.0,71
Khalil Herbert,CrossVal,RB,76.0,76
Zamir White,CrossVal,RB,75.0,76
Kendre Miller,CrossVal,RB,85.0,76
Ty Chandler,CrossVal,RB,82.0,90
Jaylen Wright,CrossVal,RB,77.0,76
Carson Steele,CrossVal,RB,96.0,100
Clyde Edwards-Helaire,CrossVal,RB,71.0,53
Keaton Mitchell,CrossVal,RB,79.0,62
MarShawn Lloyd,CrossVal,RB,67.0,90
Ashton Jeanty,CrossVal,RB,100.0,100
RJ Harvey,CrossVal,RB,100.0,100
TreVeyon Henderson,CrossVal,RB,100.0,100
Omarion Hampton,CrossVal,RB,100.0,100
Quinshon Judkins,CrossVal,RB,100.0,100
Bhayshul Tuten,CrossVal,RB,100.0,100
Kaleb Johnson,CrossVal,RB,100.0,100
Cam Skattebo,CrossVal,RB,100.0,100
Jaydon Blue,CrossVal,RB,100.0,100
Dylan Sampson,CrossVal,RB,100.0,100
Woody Marks,CrossVal,RB,100.0,100
Trevor Etienne,CrossVal,RB,100.0,100
AJ Dillon,CrossVal,RB,66.0,65
Elijah Mitchell,CrossVal,RB,71.0,29
Chase Edmonds,CrossVal,RB,74.0,76
Ja'Marr Chase,CrossVal,WR/TE,92.0,88
Justin Jefferson,CrossVal,WR/TE,88.0,88
Amon-Ra St. Brown,CrossVal,WR/TE,94.0,94
Brian Thomas Jr.,CrossVal,WR/TE,100.0,100
Drake London,CrossVal,WR/TE,100.0,100
Malik Nabers,CrossVal,WR/TE,89.0,88
Terry McLaurin,CrossVal,WR/TE,100.0,100
CeeDee Lamb,CrossVal,WR/TE,94.0,94
Brock Bowers,CrossVal,WR/TE,100.0,100
Jaxon Smith-Njigba,CrossVal,WR/TE,100.0,100
Garrett Wilson,CrossVal,WR/TE,100.0,100
Trey McBride,CrossVal,WR/TE,94.0,94
Davante Adams,CrossVal,WR/TE,93.0,94
Ladd McConkey,CrossVal,WR/TE,98.0,100
Jerry Jeudy,CrossVal,WR/TE,94.0,94
Mike Evans,CrossVal,WR/TE,88.0,88
Courtland Sutton,CrossVal,WR/TE,94.0,94
DJ Moore,CrossVal,WR/TE,100.0,100
George Kittle,CrossVal,WR/TE,88.0,88
Jonnu Smith,CrossVal,WR/TE,94.0,94
Tee Higgins,CrossVal,WR/TE,76.0,76
Tyreek Hill,CrossVal,WR/TE,96.0,97
Jakobi Meyers,CrossVal,WR/TE,88.0,88
A.J. Brown,CrossVal,WR/TE,90.0,94
Jordan Addison,CrossVal,WR/TE,94.0,94
Jameson Williams,CrossVal,WR/TE,78.0,79
Nico Collins,CrossVal,WR/TE,76.0,79
Zay Flowers,CrossVal,WR/TE,100.0,100
Puka Nacua,CrossVal,WR/TE,83.0,82
DeVonta Smith,CrossVal,WR/TE,89.0,88
Calvin Ridley,CrossVal,WR/TE,100.0,100
Jayden Reed,CrossVal,WR/TE,100.0,100
Marvin Harrison Jr.,CrossVal,WR/TE,100.0,100
Travis Kelce,CrossVal,WR/TE,94.0,94
Darnell Mooney,CrossVal,WR/TE,84.0,82
DK Metcalf,CrossVal,WR/TE,94.0,94
Mark Andrews,CrossVal,WR/TE,82.0,82
Xavier Worthy,CrossVal,WR/TE,100.0,100
Keenan Allen,CrossVal,WR/TE,75.0,76
Josh Downs,CrossVal,WR/TE,94.0,94
Wan'Dale Robinson,CrossVal,WR/TE,79.0,76
Khalil Shakir,CrossVal,WR/TE,90.0,88
Zach Ertz,CrossVal,WR/TE,75.0,71
Cooper Kupp,CrossVal,WR/TE,67.0,65
Quentin Johnston,CrossVal,WR/TE,94.0,94
Sam LaPorta,CrossVal,WR/TE,97.0,97
Rashod Bateman,CrossVal,WR/TE,88.0,76
Pat Freiermuth,CrossVal,WR/TE,88.0,88
Michael Pittman Jr.,CrossVal,WR/TE,94.0,94
George Pickens,CrossVal,WR/TE,94.0,94
Tucker Kraft,CrossVal,WR/TE,100.0,100
Alec Pierce,CrossVal,WR/TE,94.0,94
Deebo Samuel Sr.,CrossVal,WR/TE,88.0,88
Jalen Tolbert,CrossVal,WR/TE,100.0,100
Jaylen Waddle,CrossVal,WR/TE,88.0,88
David Njoku,CrossVal,WR/TE,82.0,82
Demario Douglas,CrossVal,WR/TE,93.0,94
