Player,Data Split,FantPos,PredictedHealthGrade,HealthGrade
Jahmyr Gibbs,FullModel,RB,93.0,94
Saquon Barkley,FullModel,RB,88.0,88
Bijan Robinson,FullModel,RB,99.0,100
Derrick Henry,FullModel,RB,100.0,100
De'Von Achane,FullModel,RB,82.0,82
Josh Jacobs,FullModel,RB,92.0,94
Kyren Williams,FullModel,RB,77.0,76
James Cook,FullModel,RB,94.0,94
Alvin Kamara,FullModel,RB,82.0,82
Chase Brown,FullModel,RB,82.0,82
James Conner,FullModel,RB,82.0,82
Bucky Irving,FullModel,RB,100.0,100
Jonathan Taylor,FullModel,RB,74.0,71
Chuba Hubbard,FullModel,RB,94.0,94
Aaron Jones,FullModel,RB,88.0,88
Breece Hall,FullModel,RB,80.0,76
Joe Mixon,FullModel,RB,88.0,88
David Montgomery,FullModel,RB,87.0,88
D'Andre Swift,FullModel,RB,94.0,94
Najee Harris,FullModel,RB,100.0,100
Tony Pollard,FullModel,RB,94.0,94
Rachaad White,FullModel,RB,100.0,100
Rico Dowdle,FullModel,RB,94.0,94
Zach Charbonnet,FullModel,RB,100.0,100
Tyrone Tracy Jr.,FullModel,RB,100.0,100
Kenneth Walker III,FullModel,RB,82.0,82
Rhamondre Stevenson,FullModel,RB,88.0,88
Brian Robinson Jr.,FullModel,RB,82.0,82
Javonte Williams,FullModel,RB,76.0,71
Kareem Hunt,FullModel,RB,75.0,71
Alexander Mattison,FullModel,RB,94.0,94
Jerome Ford,FullModel,RB,88.0,88
Austin Ekeler,FullModel,RB,82.0,82
Travis Etienne Jr.,FullModel,RB,94.0,94
Tank Bigsby,FullModel,RB,96.0,97
Justice Hill,FullModel,RB,89.0,88
Jaylen Warren,FullModel,RB,94.0,94
Ray Davis,FullModel,RB,100.0,100
Jordan Mason,FullModel,RB,90.0,91
Tyjae Spears,FullModel,RB,88.0,88
Tyler Allgeier,FullModel,RB,100.0,100
Antonio Gibson,FullModel,RB,94.0,94
Jaleel McLaughlin,FullModel,RB,100.0,100
Devin Singletary,FullModel,RB,94.0,94
Isaac Guerendo,FullModel,RB,97.0,100
Ty Johnson,FullModel,RB,90.0,100
