Player,FantPos,PlayMoreThan14,PredictedPlayMoreThan14,AdjustedRisk,RiskTier
Jahmyr Gibbs,RB,1,1,2,Minor
Saquon Barkley,RB,1,1,2,Minor
Bijan Robinson,RB,1,1,0,Low
Derrick Henry,RB,1,1,1,Low
De'Von Achane,RB,0,1,3,Moderate
Josh Jacobs,RB,1,1,3,Moderate
Kyren Williams,RB,0,0,4,High
James Cook,RB,1,1,0,Low
Alvin Kamara,RB,0,0,5,High
Chase Brown,RB,0,0,3,Moderate
James Conner,RB,0,1,3,Moderate
Bucky Irving,RB,1,1,0,Low
Jonathan Taylor,RB,0,0,6,Significant
Chuba Hubbard,RB,1,1,2,Minor
Aaron Jones,RB,1,1,4,High
Breece Hall,RB,0,1,1,Low
Joe Mixon,RB,1,1,2,Minor
David Montgomery,RB,1,1,4,High
D'Andre Swift,RB,1,1,0,Low
Najee Harris,RB,1,1,0,Low
Tony Pollard,RB,1,1,0,Low
Rachaad White,RB,1,1,0,Low
Rico Dowdle,RB,1,1,0,Low
Zach Charbonnet,RB,1,1,0,Low
Tyrone Tracy Jr.,RB,1,1,0,Low
Kenneth Walker III,RB,0,0,5,High
Rhamondre Stevenson,RB,1,0,5,High
Brian Robinson Jr.,RB,0,1,4,High
Javonte Williams,RB,0,1,1,Low
Kareem Hunt,RB,0,0,3,Moderate
Alexander Mattison,RB,1,1,2,Minor
Jerome Ford,RB,1,1,2,Minor
Austin Ekeler,RB,0,0,5,High
Travis Etienne Jr.,RB,1,1,3,Moderate
Tank Bigsby,RB,1,1,0,Low
Justice Hill,RB,1,1,2,Minor
Jaylen Warren,RB,1,1,2,Minor
Ray Davis,RB,1,0,0,Low
Jordan Mason,RB,1,1,2,Minor
Tyjae Spears,RB,1,0,3,Moderate
Tyler Allgeier,RB,1,1,0,Low
Antonio Gibson,RB,1,1,0,Low
Jaleel McLaughlin,RB,1,1,0,Low
Devin Singletary,RB,1,1,0,Low
Isaac Guerendo,RB,0,0,1,Low
Ty Johnson,RB,0,1,1,Low
Braelon Allen,RB,1,1,0,Low
Zack Moss,RB,0,0,7,Significant
Samaje Perine,RB,1,1,0,Low
Miles Sanders,RB,1,0,3,Moderate
Roschon Johnson,RB,1,0,5,High
Raheem Mostert,RB,1,0,6,Significant
Gus Edwards,RB,0,1,4,High
Kenneth Gainwell,RB,1,1,0,Low
Ezekiel Elliott,RB,1,1,2,Minor
Isiah Pacheco,RB,0,0,7,Significant
Emari Demercado,RB,0,0,5,High
Audric Estime,RB,0,0,4,High
Christian McCaffrey,RB,0,0,6,Significant
Trey Benson,RB,0,0,4,High
Dameon Pierce,RB,0,0,6,Significant
Jamaal Williams,RB,1,0,3,Moderate
Blake Corum,RB,1,1,2,Minor
D'Onta Foreman,RB,0,0,5,High
Khalil Herbert,RB,0,0,7,Significant
Zamir White,RB,0,0,5,High
Kendre Miller,RB,0,0,2,Minor
Ty Chandler,RB,0,1,1,Low
Jaylen Wright,RB,0,0,4,High
Carson Steele,RB,0,0,1,Low
Clyde Edwards-Helaire,RB,0,0,7,Significant
Keaton Mitchell,RB,0,0,8,Significant
MarShawn Lloyd,RB,0,0,3,Moderate
Ashton Jeanty,RB,0,0,0,Low
RJ Harvey,RB,0,0,0,Low
TreVeyon Henderson,RB,0,0,0,Low
Omarion Hampton,RB,0,0,0,Low
Quinshon Judkins,RB,0,0,0,Low
Bhayshul Tuten,RB,0,0,0,Low
Kaleb Johnson,RB,0,0,0,Low
Cam Skattebo,RB,0,0,0,Low
Jaydon Blue,RB,0,0,0,Low
Dylan Sampson,RB,0,0,0,Low
Woody Marks,RB,0,0,0,Low
Trevor Etienne,RB,0,0,0,Low
AJ Dillon,RB,0,0,7,Significant
Elijah Mitchell,RB,0,0,9,Significant
Chase Edmonds,RB,0,0,7,Significant
Ja'Marr Chase,WR/TE,1,1,0,Low
Justin Jefferson,WR/TE,1,1,3,Moderate
Amon-Ra St. Brown,WR/TE,1,1,0,Low
Brian Thomas Jr.,WR/TE,1,1,0,Low
Drake London,WR/TE,1,1,0,Low
Malik Nabers,WR/TE,1,1,2,Minor
Terry McLaurin,WR/TE,1,1,0,Low
CeeDee Lamb,WR/TE,1,1,2,Minor
Brock Bowers,WR/TE,1,1,0,Low
Jaxon Smith-Njigba,WR/TE,1,1,0,Low
Garrett Wilson,WR/TE,1,1,0,Low
Trey McBride,WR/TE,1,1,0,Low
Davante Adams,WR/TE,1,0,3,Moderate
Ladd McConkey,WR/TE,1,1,0,Low
Jerry Jeudy,WR/TE,1,1,0,Low
Mike Evans,WR/TE,1,1,3,Moderate
Courtland Sutton,WR/TE,1,1,0,Low
DJ Moore,WR/TE,1,1,0,Low
George Kittle,WR/TE,1,1,3,Moderate
Jonnu Smith,WR/TE,1,1,0,Low
Tee Higgins,WR/TE,0,0,7,Significant
Tyreek Hill,WR/TE,1,1,1,Low
Jakobi Meyers,WR/TE,1,1,2,Minor
A.J. Brown,WR/TE,1,1,3,Moderate
Jordan Addison,WR/TE,1,1,2,Minor
Jameson Williams,WR/TE,0,1,6,Significant
Nico Collins,WR/TE,0,0,6,Significant
Zay Flowers,WR/TE,1,1,0,Low
Puka Nacua,WR/TE,0,0,3,Moderate
DeVonta Smith,WR/TE,1,1,3,Moderate
Calvin Ridley,WR/TE,1,1,1,Low
Jayden Reed,WR/TE,1,1,0,Low
Marvin Harrison Jr.,WR/TE,1,1,0,Low
Travis Kelce,WR/TE,1,0,3,Moderate
Darnell Mooney,WR/TE,0,1,2,Minor
DK Metcalf,WR/TE,1,1,2,Minor
Mark Andrews,WR/TE,0,1,3,Moderate
Xavier Worthy,WR/TE,1,1,0,Low
Keenan Allen,WR/TE,0,1,7,Significant
Josh Downs,WR/TE,1,1,2,Minor
Wan'Dale Robinson,WR/TE,0,1,3,Moderate
Khalil Shakir,WR/TE,1,1,2,Minor
Zach Ertz,WR/TE,0,0,6,Significant
Cooper Kupp,WR/TE,0,0,8,Significant
Quentin Johnston,WR/TE,1,1,2,Minor
Sam LaPorta,WR/TE,1,1,0,Low
Rashod Bateman,WR/TE,0,1,1,Low
Pat Freiermuth,WR/TE,1,1,3,Moderate
Michael Pittman Jr.,WR/TE,1,1,0,Low
George Pickens,WR/TE,1,1,2,Minor
Tucker Kraft,WR/TE,1,1,0,Low
Alec Pierce,WR/TE,1,1,0,Low
Deebo Samuel Sr.,WR/TE,1,1,4,High
Jalen Tolbert,WR/TE,1,1,0,Low
Jaylen Waddle,WR/TE,1,1,2,Minor
David Njoku,WR/TE,0,0,3,Moderate
Demario Douglas,WR/TE,1,1,2,Minor
DeAndre Hopkins,WR/TE,0,1,1,Low
Hunter Henry,WR/TE,1,1,2,Minor
Rome Odunze,WR/TE,1,1,0,Low
Mike Gesicki,WR/TE,1,1,0,Low
Ray-Ray McCloud,WR/TE,1,0,3,Moderate
Cade Otton,WR/TE,1,1,2,Minor
Tank Dell,WR/TE,0,0,6,Significant
Adam Thielen,WR/TE,0,0,4,High
Chris Godwin,WR/TE,0,0,5,High
Nick Westbrook-Ikhine,WR/TE,1,1,2,Minor
Jalen McMillan,WR/TE,0,1,0,Low
Romeo Doubs,WR/TE,0,1,3,Moderate
Kyle Pitts,WR/TE,1,1,0,Low
Tre Tucker,WR/TE,1,1,0,Low
Marvin Mims Jr.,WR/TE,1,1,0,Low
Xavier Legette,WR/TE,1,1,0,Low
Michael Wilson,WR/TE,1,1,3,Moderate
Isaiah Likely,WR/TE,1,1,0,Low
Demarcus Robinson,WR/TE,1,1,1,Low
Juwan Johnson,WR/TE,1,1,3,Moderate
Amari Cooper,WR/TE,1,1,5,High
Stefon Diggs,WR/TE,0,0,5,High
Tyler Conklin,WR/TE,1,1,0,Low
Kayshon Boutte,WR/TE,1,1,2,Minor
Tyler Lockett,WR/TE,1,0,1,Low
Elijah Moore,WR/TE,1,1,0,Low
Cole Kmet,WR/TE,1,1,0,Low
Andrei Iosivas,WR/TE,1,1,0,Low
Dalton Schultz,WR/TE,1,1,2,Minor
Chigoziem Okonkwo,WR/TE,1,1,0,Low
Noah Gray,WR/TE,1,1,0,Low
Calvin Austin III,WR/TE,1,1,0,Low
Keon Coleman,WR/TE,0,0,3,Moderate
Dontayvion Wicks,WR/TE,1,0,2,Minor
Darius Slayton,WR/TE,1,1,0,Low
Joshua Palmer,WR/TE,1,1,2,Minor
Christian Watson,WR/TE,0,0,7,Significant
Jake Ferguson,WR/TE,1,1,2,Minor
Noah Fant,WR/TE,1,1,2,Minor
Dallas Goedert,WR/TE,0,0,6,Significant
Taysom Hill,WR/TE,0,0,6,Significant
Dalton Kincaid,WR/TE,1,1,3,Moderate
Tutu Atwell,WR/TE,1,1,0,Low
Ricky Pearsall,WR/TE,0,0,3,Moderate
Jalen Coker,WR/TE,0,0,0,Low
Tim Patrick,WR/TE,1,1,0,Low
Brenton Strange,WR/TE,1,1,2,Minor
Evan Engram,WR/TE,0,0,4,High
Diontae Johnson,WR/TE,0,0,6,Significant
T.J. Hockenson,WR/TE,0,0,5,High
Noah Brown,WR/TE,0,0,7,Significant
Cedric Tillman,WR/TE,0,0,2,Minor
Rashid Shaheed,WR/TE,0,0,7,Significant
Tyler Boyd,WR/TE,1,1,1,Low
Chris Olave,WR/TE,0,0,5,High
Ja'Tavion Sanders,WR/TE,1,1,0,Low
Christian Kirk,WR/TE,0,0,8,Significant
Brandin Cooks,WR/TE,0,0,5,High
Theo Johnson,WR/TE,0,0,4,High
Colby Parkinson,WR/TE,1,1,0,Low
Kendrick Bourne,WR/TE,0,0,8,Significant
Rashee Rice,WR/TE,0,0,6,Significant
Curtis Samuel,WR/TE,1,1,2,Minor
Brandon Aiyuk,WR/TE,0,0,5,High
Dawson Knox,WR/TE,0,1,3,Moderate
Mike Williams,WR/TE,0,1,7,Significant
Kalif Raymond,WR/TE,1,0,4,High
Tommy Tremble,WR/TE,1,0,3,Moderate
Gabe Davis,WR/TE,0,0,3,Moderate
Adonai Mitchell,WR/TE,1,1,0,Low
Nelson Agholor,WR/TE,1,1,3,Moderate
Jahan Dotson,WR/TE,1,1,0,Low
Tanner Hudson,WR/TE,0,0,3,Moderate
